出発地,目的地,輸送手段,日数,単位コスト,通貨,運送業者,週頻度
PORT-SHANGHAI,PORT-TOKYO,sea,4,120,USD,ONE,5
PORT-LAEMCHABANG,PORT-TOKYO,sea,8,180,USD,Evergreen,3
PORT-SHANGHAI,PORT-LAEMCHABANG,sea,6,150,USD,COSCO,3
PORT-LAEMCHABANG,PORT-SHANGHAI,sea,6,150,USD,COSCO,3
PORT-TOKYO,PORT-SHANGHAI,sea,4,110,USD,MOL,5
PORT-SHANGHAI,PORT-HAMBURG,sea_suez,30,450,USD,Maersk,2
PORT-TOKYO,PORT-HAMBURG,sea_suez,35,500,USD,Hapag-Lloyd,1
PLT-JP01,WH-JP01,truck,1,15,USD,ヤマト運輸,7
WH-JP01,PORT-TOKYO,truck,1,25,USD,日本通運,6
PLT-CN01,WH-CN01,truck,1,8,USD,SF Express,7
WH-CN01,PORT-SHANGHAI,truck,1,10,USD,Sinotrans,7
PLT-TH01,WH-TH01,truck,1,12,USD,Kerry Logistics,6
WH-TH01,PORT-LAEMCHABANG,truck,1,15,USD,DHL Thailand,6
PLT-JP01,WH-SG01,air,2,800,USD,ANA Cargo,5
PLT-CN01,WH-SG01,air,2,600,USD,China Southern Cargo,4
PLT-JP01,PLT-TH01,air,2,700,USD,ANA Cargo,3
PLT-CN01,PORT-SHANGHAI,rail,2,20,USD,China Railway,5
WH-SG01,WH-TH01,sea,3,80,USD,PIL,4
WH-SG01,WH-JP02,sea,7,200,USD,Yang Ming,2
WH-JP02,PLT-JP01,truck,1,20,USD,西濃運輸,6
